review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
"I personally enjoy this port of the original Resident Evil, however, it lacks of achievements and is not the directors cut version. This causes some missing items and modes such as ""Arrange"". If you really like Resident Evil originals like me, go for it, however adding a few mods can probably improve your experience.",318,1,1,0,0,0,2026-04-18,2026-04-18,0,8,856,824
"One of the three of my favorite RE titles, it was finally time they added the original games to steam.
Game runs smooth but needs some tinkering on linux.",154,1,1,0,0,0,2026-04-18,2026-04-18,348,46,462,462
ta bueno,8,1,1,0,0,0,2026-04-18,2026-04-18,192,110,236,236
Excellent game and I'm glad Proton will fix all the bugs quickly.,65,1,1,0,0,0,2026-04-18,2026-04-18,0,33,617,287
Classic.,8,1,1,0,0,0,2026-04-18,2026-04-18,547,109,1105,571
"REALLY REALLY REALLY GOOD!!!!!!!!!!!!!!!
A shame there's no achievements tho, could've been fun to get em.
Still a really really good game!",141,1,1,0,0,0,2026-04-17,2026-04-17,640,82,801,801
"This game is that old skewl that I couldn’t get the key bindings I wanted to work. Therefore, I couldn’t get the chick character I was playing to even move around properly 🤣 I know other pplz would prob know how to get it to work but not me… I suggest playing the newer versions in the series as I see there are many, including recent games.",341,0,1,0,0,1,2026-04-17,2026-04-17,97,28,35,35
The original master of zombie games- pc form. I played these games on the play station back in the day and I loved it then just as much as I love it now. I wish this one had arranged mode on it but I'll take whatever I can get. This is what brought me to the horror genre in games. The jump scares and tactic to make sure you have enough health and bullets to make it through the game was phenomenal. I always recommend going back to the original roots so we can appreciate what we have today.,493,1,1,0,0,0,2026-04-17,2026-04-17,339,30,755,632
Where is Barry?,15,1,1,0,0,0,2026-04-17,2026-04-21,751,97,256,250
chris unfortunately cant read .,31,1,1,0,1,0,2026-04-17,2026-04-17,307,8,1268,1198
Where it all started. My first experience with this game back in the PS1 days wasn't good. Simply because my copy of the game crashed upon entering the dormitory. I've never finished the original until now. And wow. What a game! Well worth the wait. 11/10,255,1,1,0,0,0,2026-04-17,2026-04-17,247,12,205,205
what a Classic,14,1,1,0,0,0,2026-04-17,2026-04-17,0,86,2140,2140
"This is one of my all-time favorite games, and one of the ones that influenced me the most. It was the game that made me choose the PlayStation back in the day, and for me it's a must-buy even though I prefer to play it on other platforms.

Please make it compatible with SteamOS so we can play it on Deck/Steam Machine... with Proton, there's no excuse not to (I've manged to get it working by following guides, but it's tedious), or at least add cloud saves, which it does have on GOG (it's basically the same version, but on Steam you've added Enigma DRM).

For that reason, right now I recommend buying it on GOG. There are no special Steam-exclusive rewards for buying it here (no achievements, no trading cards, no Steam Workshop... nothing at all), except for the pleasure for adding these Capcom treasures to your library. All of this applies to the classic RE, RE2 and RE3.",882,1,1,0,1,0,2026-04-17,2026-04-17,1728,63,1372,177
the residents of this mansion is pretty evil,44,1,1,0,0,0,2026-04-17,2026-04-17,0,21,821,352
The Residents were Evil,23,1,1,0,0,0,2026-04-17,2026-04-17,163,20,825,824
After modding is playable... not sure if that's a good thing,60,0,1,0,0,0,2026-04-17,2026-04-17,0,6,905,613
Very fun,8,1,1,0,0,0,2026-04-17,2026-04-17,86,16,478,478
Amo este juego y siempre lo amaré.,34,1,1,0,0,0,2026-04-17,2026-04-17,0,175,470,245
"Really hard game, but thats just a skill issue. Overall: the residents might be too evil for me",95,1,1,0,0,1,2026-04-17,2026-04-17,39,19,489,489
