review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
"Good game but not better than the first, regardless of whatever else says. Some of this had to do with the development of the game having to restart and then having to rush much of it at the end. Definitely a purchase though.",225,1,1,0,0,0,2026-04-27,2026-04-27,0,105,1167,543
IT IS A CLASSIC! 10/10,22,1,1,0,1,0,2026-04-27,2026-04-27,60,12,511,511
"It's Resident Evil 2! The original one! 
I cannot not recommend this. Even though I already bought it on GOG, I just want this game in my Steam library. 
I wish there was steam overlay and achievements though. If there were achievements, I wonder how they would name the achievement of getting that film from Wesker's desk hhh",326,1,1,0,1,0,2026-04-27,2026-04-27,0,12,523,469
"I've played the remake to death and loved every moment of it, but never played the original game before (was waiting for the Steam release). I have to say that it's on par with the remake for me! It has some stronger aspects like a lot more difference between Claire's and Leon's runs, but it also has weaker ones. Overall a 10/10 experience and I would definitely recommend any Resident Evil fan play this!",407,1,0,1,1,0,2026-04-27,2026-04-27,582,83,672,672
"Absolute peak! I love this game, thanks dad for introducing me to it as a kid.

PS: WHO THE HELL THOUGHT NOT HAVING A TOILET IN THE RPD WAS A GOOD IDEA?!",153,1,1,0,1,0,2026-04-27,2026-04-27,97,5,530,530
"An absolute rollercoaster of a game - with a more fleshed out story and natural evolution of mechanics and gameplay elements introduced in the first installment. 

An iconic work of art to be remembered and preserved as is forever.",231,1,1,0,0,0,2026-04-27,2026-04-27,0,21,723,723
"This Game is Nothing Like The Remake
--------------------------------------------------------------------------------------------------------------------------
The Soundtrack is Better Than The Remake
The A/B Scenario is Better Than The Remake
The Sewers are Better Than The Remake
The Lab Looks Better Than The Remake (Somehow)
Plays Better Than RE1 OG
--------------------------------------------------------------------------------------------------------------------------
The Story in The Remake is Better
Marvin is an Actual Character in The Remake
Kendo The Gun Store Guy is Better in The Remake
The RPD is Better in The Remake
The Zombie Spam Sucks Ass (10 Zombies in 1 Room)
The Voice Acting Still Sucks Like in RE1 OG
Mr X is Kind of Just There",754,1,1,0,1,0,2026-04-27,2026-04-27,280,52,758,758
"I like it, it's just a classic game even it is a bit hard in a way, but it is fun!",82,1,1,0,1,0,2026-04-27,2026-04-27,0,1,510,510
Not much else I can say. It's a great port of one of the best Survival horror games ever made. Still prefer this to remake.,123,1,1,0,1,0,2026-04-27,2026-04-27,0,53,54,42
"This game is one hell of a time, while remake WAS my first experience with RE2 i much prefer the original, maybe it's the feeling of old games or such positives like sound design and the attention on atmosphere and such, but This game IS one of the best RE's and possibly the best survivor horror game ever made, thanks to capcom for putting it on steam,(with DRM is pretty annoying but it's an old game).

I just wish Konami would do the same thing to og silent hill's",469,1,1,0,6,0,2026-04-26,2026-04-26,112,55,556,556
este juego es mejor que el remake y me lo lloran los nenazos.,61,1,1,0,0,0,2026-04-26,2026-04-26,88,18,273,250
"It's a version of the game without auto-aim. Can be annoying to excruciating with the health-based animations slowdown that painfully affect turn speed. 

Controller frequently disconnects and doesn't work again until the game is relaunched, or using a layout that binds controller buttons to keyboard keys. Even then, key binds break and don't work until the game is relaunched. Not very conducive to the punishing finite ink ribbon save system. 

Disregarding my opinion of the game itself (which is now lower than it probably should be) this version is bad. Very disappointing after enjoying the GOG Resident Evil 1996. 

One positive point is that the game allows you to skip door transition cutscenes.",706,0,1,0,1,0,2026-04-26,2026-04-26,954,46,182,182
"/shrug.

Crashes every time I kill the Alligator. Scripted or HP defeat.

So that ruins the experience",102,0,1,0,0,0,2026-04-26,2026-04-26,198,25,3969,409
